restaurant_name,n_reviews,average_rating,restaurant_address,zip_code,price_level,restaurant_url,Take_out,Credit_Cards,Reservations,Outdoor,Pets,Walkins,Parkings,Delivery,Wheelchair,Group,Vegetarian,Casual,Classy,Catering,Cuisine_1,Cuisine_2,Cuisine_3
Millgrove Diner,4,4,"300 Hardward Rd Millgrove Country Mart Quincy, IN 47456",47456,2,https://www.yelp.com/biz/millgrove-diner-quincy?osq=Restaurants,1,0,0,0,1,0,0,0,0,1,0,0,0,1,Diners,Breakfast & Brunch,
Yoho General Store,14,4.2,"10043 Tulip Rd Solsberry, IN 47459",47459,1,https://www.yelp.com/biz/yoho-general-store-solsberry?osq=Restaurants,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Breakfast & Brunch,New American,Burgers
Hilltop Family Restaurant,67,4,"2434 N Us-231 Spencer, IN 47460",47460,0,https://www.yelp.com/biz/hilltop-family-restaurant-spencer?osq=Restaurants,1,1,1,1,0,1,0,0,1,1,0,0,0,0,American,,
Pizza Hut,13,2.2,"310 W Morgan St Spencer, IN 47460",47460,1,https://www.yelp.com/biz/pizza-hut-spencer,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Pizza,Chicken Wings,Fast Food
Subway,7,2.6,"168 E Morgan St Spencer, IN 47460",47460,1,https://www.yelp.com/biz/subway-spencer-19,1,1,0,1,1,0,1,0,0,0,1,0,0,0,Sandwiches,Fast Food,
Crossroads 46 Diner,35,3.3,"661 W Morgan St Spencer, IN 47460",47460,0,https://www.yelp.com/biz/crossroads-46-diner-spencer?osq=Restaurants,1,1,0,1,0,0,0,0,0,0,1,0,0,0,American,Breakfast & Brunch,Steakhouses
Jit's Thai Bistro,44,4.5,"6 E Market St Spencer, IN 47460",47460,0,https://www.yelp.com/biz/jits-thai-bistro-spencer?osq=Restaurants,1,1,0,0,0,0,0,0,0,1,0,0,0,1,Thai,,
Pizza Town U.S.A,2,4,"357 W Morgan St Spencer, IN 47460",47460,2,https://www.yelp.com/biz/pizza-town-u-s-a-spencer?osq=Restaurants,1,1,1,0,1,0,1,1,0,0,0,1,0,1,Pizza,Fast Food,Chicken Wings
El Ranchero,46,3.7,"405 E Franklin St Spencer, IN 47460",47460,2,https://www.yelp.com/biz/el-ranchero-spencer?osq=Restaurants,1,1,1,0,1,0,1,0,1,1,0,0,0,1,Mexican,,
Dairy Queen,21,3,"404 E Morgan St Spencer, IN 47460",47460,1,https://www.yelp.com/biz/dairy-queen-spencer-9,1,1,0,0,0,1,1,1,0,0,0,0,0,0,Ice Cream & Frozen Yogurt,Fast Food,Burgers
