zip,primary_city,county
47805,Terre Haute,Vigo County
47807,Terre Haute,Vigo County
47808,Terre Haute,Vigo County
47809,Terre Haute,Vigo County
47811,Terre Haute,Vigo County
47812,Terre Haute,Vigo County
47830,Bellmore,Parke County
47831,Blanford,Vermillion County
47832,Bloomingdale,Parke County
47833,Bowling Green,Owen County
47834,Brazil,Clay County
47836,Bridgeton,Parke County
47837,Carbon,Clay County
47838,Carlisle,Sullivan County
47840,Centerpoint,Clay County
47841,Clay City,Clay County
47842,Clinton,Vermillion County
47845,Coalmont,Clay County
47846,Cory,Clay County
47847,Dana,Vermillion County
47848,Dugger,Sullivan County
47849,Fairbanks,Sullivan County
47850,Farmersburg,Sullivan County
47851,Fontanet,Vigo County
47852,Graysville,Sullivan County
47853,Harmony,Clay County
47854,Hillsdale,Vermillion County
47855,Hymera,Sullivan County
47856,Judson,Parke County
47857,Knightsville,Clay County
47858,Lewis,Clay County
47859,Marshall,Parke County
47860,Mecca,Parke County
47861,Merom,Sullivan County
47862,Montezuma,Parke County
47863,New Goshen,Vigo County
47864,Sullivan,Sullivan County
47865,Paxton,Sullivan County
47866,Pimento,Vigo County
47868,Poland,Owen County
47869,Prairie Creek,Vigo County
47870,Prairieton,Vigo County
47871,Riley,Vigo County
47872,Rockville,Parke County
47874,Rosedale,Parke County
47875,Saint Bernice,Vermillion County
47876,Saint Mary Of The Woods,Vigo County
47878,Seelyville,Vigo County
47879,Shelburn,Sullivan County
47880,Shepardsville,Vigo County
47881,Staunton,Clay County
47882,Sullivan,Sullivan County
47884,Universal,Vermillion County
47885,West Terre Haute,Vigo County
47901,Lafayette,Tippecanoe County
47902,Lafayette,Tippecanoe County
47903,Lafayette,Tippecanoe County
47904,Lafayette,Tippecanoe County
47905,Lafayette,Tippecanoe County
47906,West Lafayette,Tippecanoe County
47907,West Lafayette,Tippecanoe County
47909,Lafayette,Tippecanoe County
47916,Alamo,Montgomery County
47917,Ambia,Benton County
47918,Attica,Fountain County
47920,Battle Ground,Tippecanoe County
47921,Boswell,Benton County
47922,Brook,Newton County
47923,Brookston,White County
47924,Buck Creek,Tippecanoe County
47925,Buffalo,White County
47926,Burnettsville,White County
47928,Cayuga,Vermillion County
47929,Chalmers,White County
47930,Clarks Hill,Tippecanoe County
47932,Covington,Fountain County
47933,Crawfordsville,Montgomery County
47934,Crawfordsville,Montgomery County
47935,Crawfordsville,Montgomery County
47936,Crawfordsville,Montgomery County
47937,Crawfordsville,Montgomery County
47938,Crawfordsville,Montgomery County
47939,Crawfordsville,Montgomery County
47940,Darlington,Montgomery County
47941,Dayton,Tippecanoe County
47942,Earl Park,Benton County
